Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Project ID,Agency Project ID,Project Name,Project Description,Start Date,Completion Date (B1),Planned Project Completion Date (B2),Projected/Actual Project Completion Date (B2),Lifecycle Cost,Schedule Variance (in days),Schedule Variance (%),Cost Variance ($ M),Cost Variance (%),Planned Cost ($ M),Projected/Actual Cost ($ M),Updated Date,Updated Time,Unique Project ID
009-000006779,354,9,Department of Health and Human Services,Secure One HHS,2180,289186,Trusted Internet Connection (TIC),"The Department of Health and Human Services (HHS) Trusted Internet Connections (TIC) Project was formed to comply with Office Management and Budget (OMB) Memorandum M-08-05, Implementation of Trusted Internet Connections.  The purpose of the TIC program is to optimize individual external connections, including Internet Points of Presence (PoP) currently in use by the federal government.  The TIC Initiative establishes a basis for consolidated infrastructure to achieve interoperability and communication among operating divisions.  In response to this initiative, HHS will adopt a network and security architecture that complies with the Department of Homeland Security (DHS) TIC requirements and reduces the total number of external connections to include Internet, inter-agency, partner, contractor, educational, health and research connectivity.   Once implemented, the TIC environment will improve HHS's incident response capability; reduce the number of external connection points within HHS; and provide centralized monitoring of HHS network security controls.  HHS TIC aligns with the HHS 2007-2012 Strategic Plan for IT infrastructure consolidation.  This strategy employs the sharing and reuse of common, standards-based materials and programs that support the business of computer technology.",01/10/2009,30/08/2014,,,26.17,0,0,0.793,3.03,26.17,25.377,26/04/2012,10:51:06,289186
009-000001361,355,9,Department of Health and Human Services,HRSA - BHPr National Practitioner Data Bank (NPDB)/Healthcare Integrity and Protection Data Bank (HIPDB),1998,289705,Databanks - Release 5.22,Release 5.22 will provide report form usability enhancements and secure messaging for users.,20/06/2011,16/12/2011,16/12/2011,16/12/2011,0.706,0,0,-0.215,-30.45,0.706,0.921,26/04/2012,10:50:49,289705
009-000001361,355,9,Department of Health and Human Services,HRSA - BHPr National Practitioner Data Bank (NPDB)/Healthcare Integrity and Protection Data Bank (HIPDB),1999,289713,Databanks - Release 5.23,"Release 5.23 will allow reporters to forward actions to licensing boards, improve multiple primary functions, and provide enhanced registration that will improve reporting compliance.",13/06/2011,02/03/2012,02/03/2012,02/03/2012,0.865,0,0,-0.293,-33.87,0.865,1.158,22/05/2012,08:09:30,289713
009-000001361,355,9,Department of Health and Human Services,HRSA - BHPr National Practitioner Data Bank (NPDB)/Healthcare Integrity and Protection Data Bank (HIPDB),2000,289721,Databanks - Release 5.24,Release 5.24 will improve data integrity by enhancing the matching algorithm through address information as well as improve the user interface with an auto-complete feature and consistent branding with the information website.,01/08/2011,11/05/2012,11/05/2012,11/05/2012,1.39,0,0,0.316,22.73,1.39,1.074,28/06/2012,07:58:55,289721
009-000001361,355,9,Department of Health and Human Services,HRSA - BHPr National Practitioner Data Bank (NPDB)/Healthcare Integrity and Protection Data Bank (HIPDB),2001,289727,Databanks - Release 5.25,"Release 5.25 will improve system performance by providing an immediate confirmation for report submittals, updating batch processing application and improving security with digitally signed PDFs.",31/10/2011,20/06/2012,20/06/2012,20/06/2012,1.212,0,0,-0.083,-6.85,1.212,1.295,23/07/2012,09:40:54,289727
009-000001361,355,9,Department of Health and Human Services,HRSA - BHPr National Practitioner Data Bank (NPDB)/Healthcare Integrity and Protection Data Bank (HIPDB),2002,289733,Databanks - Release 6.01,"Release 6.01 will improve system performance by displaying billing events that occur after the query/enrollment has finished processing (e.g., credits, debits, etc).",16/01/2012,20/06/2012,20/06/2012,20/06/2012,0.95,-72,-46.15,-0.296,-31.16,0.95,1.246,23/07/2012,09:40:54,289733
009-000001361,355,9,Department of Health and Human Services,HRSA - BHPr National Practitioner Data Bank (NPDB)/Healthcare Integrity and Protection Data Bank (HIPDB),2003,289742,Databanks - Release 6.02,Release 6.02 will implement capabilities which detect potential duplicate reports during processing.,26/03/2012,14/12/2012,14/12/2012,14/12/2012,0.944,0,0,0.275,29.13,0.944,0.669,23/07/2012,09:40:54,289742
009-000267389,961,9,Department of Health and Human Services,ACA Consolidated IT Investment (formerly CMS CCIIO Healthcare Insurance Exchange IT Investment (HIX)),2047,289677,CMS CCIIO Healthcare Insurance Exchange Federal Exchange Program System,"This project will develop Federal Exchange that serves the needs of citizens within states where those states do not have their own state-run exchange. Since states may elect to establish their own state-run exchanges or portions thereof, this task order will permit future modifications to encompass state's needs that are unknown at this time.",01/10/2011,30/09/2015,,,249.327,0,0,0,0,68.828,68.828,29/02/2012,11:06:30,289677
009-000267389,961,9,Department of Health and Human Services,ACA Consolidated IT Investment (formerly CMS CCIIO Healthcare Insurance Exchange IT Investment (HIX)),2048,289678,CMS CCIIO Healthcare Insurance Exchange Data Services Hub,This project will develop and implement a data services hub which will provide common services and interfaces to federal agency information.,01/10/2011,30/09/2015,,,267.005,0,0,0,0,35.722,35.722,29/02/2012,11:06:31,289678
009-000267389,961,9,Department of Health and Human Services,ACA Consolidated IT Investment (formerly CMS CCIIO Healthcare Insurance Exchange IT Investment (HIX)),3031,307575,HHS ACA Consolidated IRS Projects,"This project represents the activities required to modify the following IRS investments: MITS Management - PAC 9Z (UII 015-000000128); MITS Executive Oversight - PAC 9Q (UII 015-000000141); IT Security - FISMA (UII 015-000000240); ISY Support for Business Programs (UII 015-000000122); IRS.GOV (UII 015-000000056); IRS Telecommunications Systems and Support (TSS) UII 015-000000348, IRS Main Frames and Servers Services and Support (MSSS) (UII 015-000000350); IRS End User Systems and Services (EUSS) (UII 015-000000349);  Integrated Submission and Remittance Processing System (ISRP) (UII 015-000000019); Excise Files Information Retrieval Systems (ExFIRS) (UII 015-000000031); Enterprise Services - PAC 9U (UII 015-000000183); e-Services (e-SVS) (UII  015-000000012); Customer Account Data Engine 2 (CADE 2) (UII  015-000000051); Compliance Data Environment (CDE) (UII 015-000000090); Combined Annual Wage Reporting Federal Unemployment Tax Act (CAWR FUTA) (UII 015-000000094); Business Master File (BMF) (UII 015-000000006); Applications Development Program Support (ADPS) (formerly Business Systems Development Program Support) (UII 015-000000089) to support implementation of the Affordable Care Act.",01/10/2011,30/09/2013,,,303,0,0,0,0,303,303,01/03/2012,15:34:01,307575
009-000236620,991,9,Department of Health and Human Services,CMS HITECH (Health Information Technology for Economic & Clinical Health),2183,283001,HITECH NLR Release 11.04,"This release is scheduled for production in October of 2011.  The theme of the release is audits, appeals, and overpayments.",04/03/2011,10/10/2011,10/10/2011,10/10/2011,6.54,0,0,1.255,19.19,6.54,5.285,26/04/2012,10:51:08,283001
009-000236620,991,9,Department of Health and Human Services,CMS HITECH (Health Information Technology for Economic & Clinical Health),2184,297221,HITECH NLR Release 12.01,This release is scheduled to go into production in January of 2012.  The theme of the release is federal payment requirements.,27/05/2011,03/01/2012,03/01/2012,02/03/2012,5.034,-59,-26.7,-0.333,-6.62,5.034,5.367,22/05/2012,10:15:27,297221
009-000236620,991,9,Department of Health and Human Services,CMS HITECH (Health Information Technology for Economic & Clinical Health),2185,297224,HITECH NLR Release 12.02,This release is scheduled for production in April of 2012.  It will include any updates to code and fucntionality requested by the business owners and approved by the Change Control Board.  It will also incorporate any legislative changes to the Program.,22/07/2011,02/04/2012,02/04/2012,02/04/2012,5.034,0,0,0.485,9.63,5.034,4.549,22/05/2012,10:15:27,297224
009-000236620,991,9,Department of Health and Human Services,CMS HITECH (Health Information Technology for Economic & Clinical Health),2186,297225,HITECH NLR Release 12.03,This release is scheduled for production in July of 2012.  It will include changes to the system or reports requested by business owners and approved by the Change Control Board.  It will also include any required legislative updates.,21/10/2011,02/07/2012,02/07/2012,02/07/2012,5.034,0,0,-0.277,-5.5,5.034,5.311,23/07/2012,09:41:14,297225
009-000236620,991,9,Department of Health and Human Services,CMS HITECH (Health Information Technology for Economic & Clinical Health),2187,297226,HITECH NLR Release 12.04,This release will go into production in October of 2012.  It will include changes to the system requested by business owners and approved by the Change Control Board.  It will also include any changes mandated by legislation.,28/01/2012,01/10/2012,01/10/2012,01/10/2012,5.034,0,0,-0.125,-2.48,5.034,5.159,23/07/2012,09:41:14,297226
009-000236620,991,9,Department of Health and Human Services,CMS HITECH (Health Information Technology for Economic & Clinical Health),2188,297227,HITECH NLR Release 13.01,This release will go into production in January of 2013.  It will include changes to the system as requested by business owners and approved by the Change Control Board.  It will also include any changes mandated by legislation.,23/04/2012,15/01/2013,,,6.558,0,0,0.11,1.68,6.558,6.448,23/07/2012,09:41:14,297227
009-000267388,1001,9,Department of Health and Human Services,CMS CCIIO HealthCare.GOV Plan Finder IT Investment,2190,289436,CMS CCIIO Healthcare.GOV Plan Finder Final Data Collection from CMP and Transition to RBIS,This project will do the final data collection of information from the eHealth system Content Management Program (CMP). It will also do a final transition to the new Rate and Benefits Information System (RBIS).,26/07/2011,25/01/2012,25/01/2012,25/01/2012,1.8,0,0,0.398,22.11,1.8,1.402,26/04/2012,10:51:09,289436
009-000267388,1001,9,Department of Health and Human Services,CMS CCIIO HealthCare.GOV Plan Finder IT Investment,2192,289506,CMS CCIIO Healthcare.GOV Plan Finder Transparency (Reg 2715A),"This project will implement measure to improve the transparency of information about how health coverage works so consumers will have better information to use and assess the coverage they have now, and/or make choices among different coverage options.",01/10/2011,31/08/2012,,,0.5,0,0,0,0,0.5,0.5,28/06/2012,07:59:25,289506
009-000267388,1001,9,Department of Health and Human Services,CMS CCIIO HealthCare.GOV Plan Finder IT Investment,2946,307198,CMS CCIIO Healthcare.Gov Submission Window Modifications,This project will modify the length of time or window that users have to submit data.  The window will increase to 10 weeks for both Individual and Small Groups.,01/03/2012,06/06/2012,,,1.668,-86,-88.66,0.653,39.15,1.668,1.015,23/07/2012,09:41:15,307198
009-000001380,1086,9,Department of Health and Human Services,CDC OID National Healthcare Safety Network (NHSN),2123,286781,NHSN - HAI Surveillance,The National Healthcare Safety Network (NHSN) is a web-based information system designed for use by CDC and partners as a resource for surveillance and improvement of patient and healthcare personnel safety. The principal goals of NHSN are to improve safety by creating and disseminating knowledge necessary to detect and respond to current and emerging healthcare safety threats. The development aspects of the project primarily supports and maintain the operations of the system and integrates new feature and functionality as deemed necessary by CDC's Division of Healthcare Quality Promotion program.,22/08/2011,23/11/2012,,,3.75,0,0,0.013,0.35,3.75,3.737,26/07/2012,10:09:13,286781
009-000004093,1087,9,Department of Health and Human Services,Continued Implementation of HSPD-12 (formerly known as IAM@HHS),2139,296521,Perform Program Management of HHS ICAM Services and Develop M-11-11 Implementation and M-06-18 Procurement Policies,"Activities focused on managing all program projects, monitoring performance, mitigating risks and coordinating the issuance of Departmental implementation policy for HSPD-12 and related mandates.",01/03/2005,30/09/2014,,,11.168,0,0,0.236,2.11,11.168,10.932,23/07/2012,09:41:02,296521
009-000004093,1087,9,Department of Health and Human Services,Continued Implementation of HSPD-12 (formerly known as IAM@HHS),2140,296561,Complete HHS ICAM Architecture Aligned with FICAM Architecture as required by M-11-11,"Activities focused on ensuring that the  government-wide architecture and completion of Department transition plans align as described in the Federal CIO Council's Federal Identity, Credential, and Access Management Roadmap and Implementation Guidance.",20/10/2010,29/06/2012,,,0.58,-63,-10.19,-0.001,-0.17,0.58,0.581,26/04/2012,06:08:01,296561
009-000004093,1087,9,Department of Health and Human Services,Continued Implementation of HSPD-12 (formerly known as IAM@HHS),2141,296562,Implement Identity Management (IDM) Services to Enable use of PIV Credentials in support of M-11-11,"Activities focused on implementing identity management services, account provisioning services, directory services and service-oriented interfaces with OPDIV identity repositories to support the use of PIV and non-PIV smartcards in Department physical and logical access control systems.",03/08/2009,31/12/2013,,,6.845,0,0,-1.074,-15.69,6.844,7.918,23/07/2012,09:41:02,296562
009-000004093,1087,9,Department of Health and Human Services,Continued Implementation of HSPD-12 (formerly known as IAM@HHS),2142,296564,Implement PIV Services for Credential Management for Permanent Personnel in support of M-11-11,"Activities focused on implementing standards, procedures and technical capabilities to support the use of PIV smartcards in Department physical and logical access control systems.",01/07/2005,30/04/2013,,,11.602,0,0,0.044,0.38,11.601,11.557,26/04/2012,06:08:01,296564
009-000004093,1087,9,Department of Health and Human Services,Continued Implementation of HSPD-12 (formerly known as IAM@HHS),2143,296572,"Implement PIV-C, PIV-I, and/or Special Use Case Credential Management Services in support of M-11-11","Activities focused on implementing standards, procedures and technical capabilities to support the use of non-PIV smartcards in Department physical and logical access control systems.",01/05/2010,31/05/2012,,,1.288,-92,-12.09,-0.105,-8.15,1.288,1.393,26/04/2012,06:08:01,296572
009-000004093,1087,9,Department of Health and Human Services,Continued Implementation of HSPD-12 (formerly known as IAM@HHS),2144,296576,Enable New and Existing Logical Access Control Systems to use PIV Credentials as required by M-11-11,"Activities focused on implementing logical access management services, simplified sign-on services, federation services and role-management capabilities to support the use of PIV and non-PIV smartcards in Department logical access control systems.",14/04/2008,30/09/2013,,,22.241,0,0,2.706,12.17,22.24,19.534,23/07/2012,09:41:02,296576
009-000004093,1087,9,Department of Health and Human Services,Continued Implementation of HSPD-12 (formerly known as IAM@HHS),2145,296583,Enable New and Existing Physical Access Control Systems to use PIV Credentials as required by M-11-11,Activities focused on implementing LACS/PACS integration services and visitor management services to support the use of PIV and non-PIV smartcards in Department physical access control systems.,01/11/2010,07/09/2012,07/09/2012,07/09/2012,0.731,0,0,-0.348,-47.67,0.73,1.078,23/07/2012,09:41:03,296583
009-000004093,1087,9,Department of Health and Human Services,Continued Implementation of HSPD-12 (formerly known as IAM@HHS),2146,296584,Accept and Electronically Verify Other Agency PIV Credentials as required by M-11-11,"Activities focused on implementing standards, procedures and technical capabilities to support the acceptance and electronic verification of PIV smartcards issued by other federal agencies in Department physical access control systems.",02/01/2012,30/09/2013,,,0.45,0,0,0,0,0.45,0.45,26/04/2012,06:08:02,296584
009-000005797,1088,9,Department of Health and Human Services,OS ASPA HHS Web Management Investment,2199,295464,OS Web Mgt - Tobacco-Free Lifestyle Initiative,"Create a web presence for the tobacco-free lifestyle initiative that will include usability studies, graphics, web site development, content gathering from groups, site architecture, development of interactive components and much more.",16/09/2011,14/09/2012,,,2.281,0,0,0,0,2.218,2.218,26/04/2012,10:51:02,295464
009-000005797,1088,9,Department of Health and Human Services,OS ASPA HHS Web Management Investment,2200,295469,OS Web Mgt - Mobile Access to HHS,"To create a strategy and plan for access to HHS web information via mobile devices and design, develop and implement the strategy on HHS web sites.",06/09/2011,07/09/2012,,,1.011,0,0,0,0,1.011,1.011,26/04/2012,10:51:02,295469
009-000005797,1088,9,Department of Health and Human Services,OS ASPA HHS Web Management Investment,2201,295470,OS Web Mgt - Healthcare Finder,The Affordable Care Act Law requires access to Small Business Insurance as well as Individual Insurance options . The project will result in the development of a API interface to the Options Finder application which provides users with specific information based on their individual needs.,01/06/2011,31/05/2012,,,1.836,-138,-43.26,0,0,1.434,1.434,26/04/2012,10:51:02,295470
009-000005797,1088,9,Department of Health and Human Services,OS ASPA HHS Web Management Investment,2202,295471,OS Web Mgt - Web Content Management System Enhancements,"Enhancing HHS's use of the WCMS by adding features and upgrading some of the out-of-the box modules to work with other systems/sites per stakeholder requirements. The project will result in the deployment of the Percussion CMS 7.03 and better functionality for taggng and categorizing content, syndicating content across HHS, and implementing a much quicker publishing mechanism. Finally a dashboard to allow administrative users to view logs, and other necessary components of the system's perfomance will be built.",01/04/2011,30/03/2012,,,0.854,-168,-50.45,0.051,5.97,0.854,0.803,26/04/2012,10:51:02,295471
009-000005797,1088,9,Department of Health and Human Services,OS ASPA HHS Web Management Investment,2203,295472,OS Web Mgt - Cloud Infrastructure,Transition entire web presence (web and web application servers) from physical servers to a virtual environment.,01/06/2011,14/08/2012,,,1.474,-17,-3.86,0,0,1.473,1.473,26/04/2012,10:51:02,295472
009-000005797,1088,9,Department of Health and Human Services,OS ASPA HHS Web Management Investment,2204,300128,OS WEB Mgt - News and Syndication Integration,"HHS has a need for dynamic database driven News and Syndication of its content. The project will enable the integration and syndicaiton of news from across HHS into a system that will provide outputs for specific target audiences and/or topics (i.e. tobacco, healthcare, foodsafety).",01/06/2011,31/05/2012,,,0.229,-92,-25.21,0,0,0.22,0.22,26/04/2012,10:51:02,300128
009-000276109,1089,9,Department of Health and Human Services,HRSA - BPHC Bureau of Primary Health Care Management Information System (BHCMIS),2051,290021,BCHMIS - UDS,The purpose of this project is to support the end-to-end reporting cycle for the UDS 2011 reporting requirements for the Federally Qualified Health Center (FQHC) and the FQHC Lookalike programs. It includes web based support for data collection using all OMB approved forms and processing support for the data review and quality assurance cycles. It also includes preparation and dissemination of the performance data through multiple channels for internal and external use. This project consists of two distinct packages to mirror the data collection cycle and the subsequent data review and reporting cycle.,01/07/2011,28/09/2012,28/09/2012,28/09/2012,1.9,0,0,-0.06,-3.16,1.9,1.96,23/07/2012,09:41:16,290021
009-000276109,1089,9,Department of Health and Human Services,HRSA - BPHC Bureau of Primary Health Care Management Information System (BHCMIS),2052,290088,BCHMIS - REPORTS,The purpose of this project is to develop cross cut reports that allow program staff to access data from BHCMIS modules.  The reports are implemented iteratively in an agile manner.,01/07/2011,28/09/2012,,,1.075,0,0,0,0,1.075,1.075,23/07/2012,09:41:16,290088
009-000276109,1089,9,Department of Health and Human Services,HRSA - BPHC Bureau of Primary Health Care Management Information System (BHCMIS),2053,290147,BCHMIS - GAAM,"In 2011 the purpose of this project is to support the program specific data collection, completeness and eligibility reviews and the program application reviews (PAR) for School Based Health Center and Capital Development funding opportunities for the Health Center program. It includes one package. In 2012 the purpose of this project is to support the program specific data collection, completeness and eligibility reviews and the program application reviews (PAR) for all funding opportunities for the Health Center program for FY 2012/2013. This includes the service area competitions, budget period renewals and other supplemental opportunities. It also includes support for up to 3 new competing opportunities. The project will be executed iteratively using agile methodologies and the work will be planned based on quarterly sprints. The project will follow the HRSA EPLC.",01/07/2011,26/09/2012,,,2.15,0,0,-0.037,-1.72,2.15,2.187,23/07/2012,09:41:16,290147
009-000276109,1089,9,Department of Health and Human Services,HRSA - BPHC Bureau of Primary Health Care Management Information System (BHCMIS),2054,290150,BCHMIS - FTCA,The purpose of this project is to support the deeming process of the FTCA 2011 processing cycle. It includes work that is currently in progress and scheduled to be completed by September 2011.,01/07/2011,28/09/2012,,,0.702,0,0,0.022,3.13,0.702,0.68,23/07/2012,09:41:16,290150
009-000276109,1089,9,Department of Health and Human Services,HRSA - BPHC Bureau of Primary Health Care Management Information System (BHCMIS),2055,290204,BCHMIS - PMM,The purpose of this project is to provide web based capabilities to program staff to better monitor and manage their portfolios. The project envisions a generic management module that will provide a set of core capabilities for all BPHC programs and allow tailoring where appropriate. The PMM module will be fully integrated with EHBs and other BHCMIS modules. This project will follow the HRSA EPLC.,03/10/2011,28/09/2012,28/09/2012,28/09/2012,0.899,0,0,-0.036,-4,0.899,0.935,23/07/2012,09:41:16,290204
009-000276109,1089,9,Department of Health and Human Services,HRSA - BPHC Bureau of Primary Health Care Management Information System (BHCMIS),2056,290227,BCHMIS - HCQR,"In 2011 the purpose of this project is to support the quarterly progress reporting requirements for the Health Center program under the ARRA and the ACA legislation. It includes programming of all the OMB approved forms, review and reporting processes. The project includes the iteration for the reporting period starting July 1 through September 30 2011 (FY2011-Q4).  In 2012 the purpose of this project is to support the quarterly progress reporting requirements for the Health Center program under the ARRA and the ACA legislation.  InIt includes programming of all the OMB approved forms, review, reporting processes. The project includes the iterations for each quarter in FY 2012. The ARRA reporting requirements will end in the second quarter as all grants move to closeout. This project will follow the HRSA EPLC.",01/06/2011,28/09/2012,28/09/2012,28/09/2012,0.785,0,0,0.009,1.15,0.785,0.776,23/07/2012,09:41:16,290227
009-000276109,1089,9,Department of Health and Human Services,HRSA - BPHC Bureau of Primary Health Care Management Information System (BHCMIS),2057,290235,BCHMIS - SCOPE,"The purpose of this project is to maintain the Scope module to sustain the tracking and management of the sites and services of health centers and to enhance it to support changes in policies, procedures and legislative changes. It includes one child package to denote the work that is scheduled to be accomplished in the remainder of FY2011.",01/07/2011,25/09/2012,25/09/2012,25/09/2012,1.255,0,0,-0.026,-2.07,1.255,1.281,23/07/2012,09:41:16,290235
009-000276109,1089,9,Department of Health and Human Services,HRSA - BPHC Bureau of Primary Health Care Management Information System (BHCMIS),2058,290247,BCHMIS - FQHC-LAL,"In 2011 the purpose of this project is to support electronic applications for the Federally Qualified Health Center Lookalike (FQHC LAL) program. It includes support for new, renewal and recertification packages. It also includes electronic completeness and eligibility reviews on the submitted application by internal staff and associated process reporting. It includes one child package to denote the work that is scheduled to be accomplished in the remainder of FY2011. In 2012 The purpose of this project is to develop and implement modules that allow pre-designation reviews to be conducted on all eligible applications and designation notices to be generated electronically after necessary workflow approvals. It also includes development of a post designation module that will allow designated entities to submit any required documentation electronically. The project consists of two distinct packages that will support processing in FY2012. This project will follow the HRSA EPLC.",01/07/2011,27/07/2012,27/07/2012,27/07/2012,1.515,-35,-8.93,-0.017,-1.12,1.515,1.532,23/07/2012,09:41:16,290247
009-000276109,1089,9,Department of Health and Human Services,HRSA - BPHC Bureau of Primary Health Care Management Information System (BHCMIS),2059,290272,BCHMIS - CTAR,"In 2012 the purpose of this project is to develop a generic review module that will allow multiple reviews (architectural, environmental etc.) to be conducted on each project within a capital development application or post award change request. It also supports consolidated review of all individual reviews and identification of conditions of award based on the reviews. It supports electronic integration of the conditions with the awards module. The project entails developing a prototype in FY2012-Q1 and roll out of the capabilities in modular releases in the remainder of 2012. This project will follow the HRSA EPLC.",03/10/2011,28/09/2012,,,0.826,0,0,-0.005,-0.61,0.826,0.831,23/07/2012,09:41:16,290272
009-000281361,1090,9,Department of Health and Human Services,CMS National Fraud Prevention Program,2193,288107,NFPP Development,"This project will develop models that predict fraud, a case managment system to integrate and operate the fraud detecdted by  all models CPI and its contractors develop,  and a risk scoring module that will combine models into consolidated  application that can be applied to claims data.",01/07/2011,31/12/2020,,,170,-63,-17.31,0,0,6.581,6.581,26/04/2012,10:51:09,288107
009-000281361,1090,9,Department of Health and Human Services,CMS National Fraud Prevention Program,2194,288127,NFPP - MODELING,This project will develop models to detect medicare fraud that the NFPP Development project will integrate with other models and implement to detect fraud before payments are made.  CPI implemented this project to ensure that a variety of fraud detection methods are applie to development of models.,08/07/2011,31/12/2020,,,27,-62,-17.32,-1.328,-51.02,2.603,3.931,28/06/2012,07:59:30,288127
009-000281361,1090,9,Department of Health and Human Services,CMS National Fraud Prevention Program,2195,288128,NFPP - PILOT,Develop an estimate of probable Medicare fraud that CMS can use for program planning and evaluation of their fraud detection activities.,30/07/2010,31/12/2020,01/07/2012,01/07/2012,80,-61,-11.82,0,0,4,4,26/04/2012,10:51:09,288128
009-000281532,1091,9,Department of Health and Human Services,CMS Quality Program,2060,294226,QPI - Psychiatric Hospitals (10322),The Psychiatric Hospitals Program will include all IT services and functions necessary to serve the needs of the Psychiatric Hospitals Inpatient and Outpatient Public Reporting Program. This program is new and in the development phase.,10/03/2012,14/06/2013,,,26.03,0,0,-0.019,-0.07,26.03,26.049,23/07/2012,09:41:18,294226
009-000281532,1091,9,Department of Health and Human Services,CMS Quality Program,2061,294311,QPI- Physician Quality Reporting System (3002),"In 2012, the Physician Quality Reporting System (PQRS) will continue to offer expanded measures and reporting options for Eligible Professionals (EPs).  The number of quality measures to be included for 2012 is not established at this time.  There were 190 quality measures in 2011.  For 2012 there will continue to be multiple reporting options through claims and will continue to include measure groups.  The Physician Quality Reporting System will support multiple submission methods such as Electronic Health Record Registry and Group Practices Reporting Options (GPROs I and II).  It is anticipated that the incentive will be based, as in past years, on the total allowed Medicare Physician Fee Schedule charges for the reporting period.Continuing in 2012, there will be the Electronic Prescribing (eRx) Initiative which is available for those EP's that are considered successful electronic prescribers (eRx-ers) as defined in the CMS eRx specifications.  As in 2011, both individual and selected GPROs may report on the eRx measure through claims, registries or EHR's.  Successful eRx-ers will potentially earn an incentive payment based on their total allowed Medicare Physician Fee Schedule charges for the 12 month reporting period.  Currently successful electronic prescribers will not be eligible to receive an incentive under the eRx Incentive Program if they are also receiving an incentive under the Health Information Technology (HIT) Incentive Program authorized by the Recovery Act, enacted on February 17, 2009. Future rule making may further align the incentives programs. EP's that are not electronic prescribers will receive a penalty adjustment starting in 2012 based on the first 6 months of claims data submitted in 2011.  The eRx Initiative will provide Interim Feedback Reporting to EP's.  Measures and other data sources may be added for the 2012 Program Year to allow EP's options for successfully reporting the eRx measure for both the penalty and incentive programs.  EP's may have the flexibility of expanding and adding additional hardship codes for exemption for all years.",10/03/2012,29/09/2013,,,53.04,0,0,0.003,0.01,53.04,53.037,23/07/2012,09:41:18,294311
009-000281532,1091,9,Department of Health and Human Services,CMS Quality Program,2062,294349,QPI- Hospital Value Based Purchasing(3001),"The Hospital Value Based Purchasing is an upgrade to the Hospital Reporting 1.0 release and will include all services and functions necessary to serve the needs of Hospital Inpatient Quality Reporting and Hospital Outpatient Quality Reporting.  In addition, it includes the new updates to provide Value Based Purchasing measurements.",10/03/2012,30/06/2013,,,20.546,0,0,0,0,20.546,20.546,23/07/2012,09:41:18,294349
009-000281532,1091,9,Department of Health and Human Services,CMS Quality Program,2063,294866,QPI - Standard Data Processing System,"The standard data processing system (SDPS) is the data infrastructure for the QIO program. This includes the application development, maintenance, data warehousing, system administration, helpdesk support, and communication lines.",10/03/2012,01/06/2013,,,23.98,0,0,0.002,0.01,23.98,23.978,23/07/2012,09:41:18,294866
009-000281532,1091,9,Department of Health and Human Services,CMS Quality Program,2064,294904,QPI - Ambulatory Surgical Centers,"The 2011 Out-Patient Payment Final Rule proposed a plan for linking Ambulatory Surgical Center (ASC) payment to reporting quality data in the following year; therefore, in CY 2012 CMS is to implement an ASC pay-for-reporting program.   The ASC Quality Collaborative (ASC QC) has recommended six measures with National Quality Forum endorsement to be used in implementing ASC pay-for-reporting. This project is to build the infrastructure and modifiy existing systems to accommodate our needs.",01/01/2012,30/06/2013,,,10.406,0,0,-0.077,-0.74,10.406,10.483,23/07/2012,09:41:18,294904
009-000281532,1091,9,Department of Health and Human Services,CMS Quality Program,2065,295473,"QPI - LTC hospitals, IRF and hospice programs (3004)","The Long Term Care, Inpatient Rehabilitation Hospitals and Hospice Program is being supported by this project. This project includes the development of the business requirements, submission of change requests for existing IT systems and the redesign of the existing IT systems.",10/03/2012,01/06/2013,,,26.85,0,0,0,0,26.85,26.85,23/07/2012,09:41:18,295473
009-000281532,1091,9,Department of Health and Human Services,CMS Quality Program,2066,295565,QPI - Cancer Hospitals (3005),"The Cancer Hospital program is being supported by this project. This project includes the development of business requirements, submission of change requests for existing IT systems, and redesign of the existing IT system.",07/05/2012,29/06/2013,,,3.25,0,0,-0.006,-0.18,3.25,3.256,23/07/2012,09:41:18,295565
009-000281783,1094,9,Department of Health and Human Services,CMS Accountable Care Organizations,2067,289722,ACO Accountable Care Organizations,"The purpose of this project is to initiate technical solutions to implement the Medicare Shared Savings Program ACO technical operations.  This project encompasses the technical solution to share data, conduct eligibility verification, assign beneficiaries, calculate annual expenditures, calculate and apply performance and quality scores, calculate shared savings, and report on programs.  Due to the heavy dependency on the integration of CMS IT infrastructure, collaboration with contractors for programming, design, system development, and ongoing system maintenance, operating the SSP ACO is heavily dependent on the funding of this project.",15/04/2011,16/01/2014,,,103.589,0,0,-6.955,-6.98,99.637,106.592,26/07/2012,10:08:22,289722
009-000282322,1096,9,Department of Health and Human Services,CMS Physician Feedback Program,2196,285027,Physician Feedback,"This project supports the Physician Feedback IT investment that is needed to support a number of IT needs that are critical to the viable and efficient progression of the Physician Feedback Program as it expands to reach all physicians and non-physician practitioners providing care to Medicare beneficiaries.  These needs include: report creation (via manipulation and analysis of various Medicare beneficiary/Medicare provider data), storage of information used to create reports, and an efficient electronic report delivery mechanism that allows for user authentication and retrieval.",01/09/2011,29/09/2012,29/09/2012,29/09/2012,1.496,0,0,-0.14,-9.47,1.479,1.619,23/07/2012,09:41:20,285027
Total,,,,,,,,,,,,,2545.836,-19.77981651,-8.089357798,-11.01026147,-145.0402752,1417.954,17.51463761,,,
